index,label,content,keyword
1,0,啊啊啊啊发疯,发疯
2,0,直接开始发疯,发疯
3,0, 我要发疯 为什么我们不在东北读书,发疯
4,0, 评论区真的笑疯了抖音现在的评论区怎么都在发疯,发疯
5,0,我想问一下，怎么样在别人发疯的时候，做到不伤害不刺激对方地发疯,发疯
6,0,一位大姐看我的主页，我就日常发疯，他就开始批判起了我,发疯
7,0,不正常吗25年 是我我还要滚地尖叫发疯跪地吐白沫疯狂上下跳然后在晕倒在地,发疯
8,0,我妈一直都只会歇斯底里的叫 喊 发疯我怎么能奢望让她理解我 根本没有说出口的机会,发疯
9,1,姐姐你的风格好奇怪啊 不是甜美风不是元气风不是拽姐风不是纯欲风不是欧美风 而是我见了会发疯,发疯
10,0,对于想要追求的人根本无法正常的社交哇，就是会很害羞在阴暗的角落发疯x根本没有办法在现实生活去正视她….对于单纯想要做朋友的女孩子反而比较放得开，夸赞的话就会脱口而出。啊啊啊啊啊啊啊不活了,发疯
11,0,有没有那种发癫群最近真的很想发疯就是群里各聊各的，在发疯,发疯
12,0,要是我儿子我会发疯的,发疯
13,0,真假先不说，文化差异真的会让人发疯的,发疯
14,0,有没有那种发疯的群啊，我想发疯,发疯
15,0,她不发疯，好美啊,发疯
16,0,自己活该的！人要珍惜自己，发疯有什么用,发疯
17,1,在看着姐姐发疯,发疯
18,0,"暑假工：
1.陪聊
2.情绪垃圾桶
3.叫醒服务（我也起不来）
4.每天道早晚安
5.可以一起打游戏（啥都打不好）
听你吐槽
本人男（但是我有点病希望你们能忍一下，有下单意向的老板可以私信要我发疯实录）
在线等老板",发疯
19,1,你想要一个会发疯的女朋友吗,发疯
20,1,这婆娘，又孬，又泼，又发疯，何该，何该，打轻了，打轻了。,发疯
21,0,     🐟（发疯版     ,发疯
22,1,这得有个脑残女的配合你的CPU,脑残女
23,1,丈母驴,母驴
24,1,我呸 女人,呸
25,1,一点伦理道德都不讲了，啊呸,呸
26,1,"简单说:该原配享受的，小三也可以享受了。
呸！！！",呸
27,1,啊呸！狗屁啥也不是！道德沦丧！,呸
28,1,看不起双性恋！男女通吃呸,呸
29,1,呸呸呸呸呸呸呸,呸
30,1,看不得这，呸,呸
31,1,呸呸！,呸
32,1,呸，活该,呸
33,1,我呸，滚。,呸
34,0,哦呸,呸
35,1,呸,呸
36,0,呸这些个东西,呸
37,0,呸呸呸！！,呸
38,1,呸……普信男,呸
39,0,我在想找个啥样的老公，才能让富婆值得给我一个亿，现在🈶这值钱的男人么。我呸,呸
40,1,我们用口水淹死他，我先来，呸……,呸
41,0,恶心死了，呸,呸
42,1,这个老太婆不是人，坏心眼，呸,呸
43,1,给这个妈，这个女巴婆，我呸呸呸一渣女,呸
44,0,遇见这一号的丈母娘，真恶心，立马回家不给他家过了，不给他养老送终呸，把女婿当牛做马的使唤，没有一点爱心自私,呸
45,1,没事，这种男人不要也罢！连一巴掌都忍不了？  追毛线，早点让他解脱不好么？马上离婚！  呸！,呸
46,0,呵呸，我买钻石感觉脑子进💩了,呸
