index,keyword,new_keyword,content,label
1,发疯,发疒 风,啊啊啊啊发疒 风,0
2,发疯,发疒 风,直接开始发疒 风,0
3,发疯,发疒 风, 我要发疒 风 为什么我们不在东北读书,0
4,发疯,发疒 风, 评论区真的笑疯了抖音现在的评论区怎么都在发疒 风,0
5,发疯,发疒 风,我想问一下，怎么样在别人发疒 风的时候，做到不伤害不刺激对方地发疒 风,0
6,发疯,发疒 风,一位大姐看我的主页，我就日常发疒 风，他就开始批判起了我,0
7,发疯,发疒 风,不正常吗25年 是我我还要滚地尖叫发疒 风跪地吐白沫疯狂上下跳然后在晕倒在地,0
8,发疯,发疒 风,我妈一直都只会歇斯底里的叫 喊 发疒 风我怎么能奢望让她理解我 根本没有说出口的机会,0
9,发疯,发疒 风,姐姐你的风格好奇怪啊 不是甜美风不是元气风不是拽姐风不是纯欲风不是欧美风 而是我见了会发疒 风,1
10,发疯,发疒 风,对于想要追求的人根本无法正常的社交哇，就是会很害羞在阴暗的角落发疒 风x根本没有办法在现实生活去正视她….对于单纯想要做朋友的女孩子反而比较放得开，夸赞的话就会脱口而出。啊啊啊啊啊啊啊不活了,0
11,发疯,发疒 风,有没有那种发癫群最近真的很想发疒 风就是群里各聊各的，在发疒 风,0
12,发疯,发疒 风,要是我儿子我会发疒 风的,0
13,发疯,发疒 风,真假先不说，文化差异真的会让人发疒 风的,0
14,发疯,发疒 风,有没有那种发疒 风的群啊，我想发疒 风,0
15,发疯,发疒 风,她不发疒 风，好美啊,0
16,发疯,发疒 风,自己活该的！人要珍惜自己，发疒 风有什么用,0
17,发疯,发疒 风,在看着姐姐发疒 风,1
18,发疯,发疒 风,"暑假工：
1.陪聊
2.情绪垃圾桶
3.叫醒服务（我也起不来）
4.每天道早晚安
5.可以一起打游戏（啥都打不好）
听你吐槽
本人男（但是我有点病希望你们能忍一下，有下单意向的老板可以私信要我发疒 风实录）
在线等老板",0
19,发疯,发疒 风,你想要一个会发疒 风的女朋友吗,1
20,发疯,发疒 风,这婆娘，又孬，又泼，又发疒 风，何该，何该，打轻了，打轻了。,1
21,发疯,发疒 风,     🐟（发疒 风版     ,0
22,脑残女,脑歹 戋女,这得有个脑歹 戋女的配合你的CPU,1
23,母驴,母马 户,丈母马 户,1
24,呸,口 丕,我口 丕 女人,1
25,呸,口 丕,一点伦理道德都不讲了，啊口 丕,1
26,呸,口 丕,"简单说:该原配享受的，小三也可以享受了。
口 丕！！！",1
27,呸,口 丕,啊口 丕！狗屁啥也不是！道德沦丧！,1
28,呸,口 丕,看不起双性恋！男女通吃口 丕,1
29,呸,口 丕,口 丕口 丕口 丕口 丕口 丕口 丕口 丕,1
30,呸,口 丕,看不得这，口 丕,1
31,呸,口 丕,口 丕口 丕！,1
32,呸,口 丕,口 丕，活该,1
33,呸,口 丕,我口 丕，滚。,1
34,呸,口 丕,哦口 丕,0
35,呸,口 丕,口 丕,1
36,呸,口 丕,口 丕这些个东西,0
37,呸,口 丕,口 丕口 丕口 丕！！,0
38,呸,口 丕,口 丕……普信男,1
39,呸,口 丕,我在想找个啥样的老公，才能让富婆值得给我一个亿，现在🈶这值钱的男人么。我口 丕,0
